student_id_PK,gender,prog_code,gpa,town_origin,year_cred,dropout
841-05-8161,F,BIOG,273,SAN JUAN,CUA,N
841-08-7429,M,ESCO,305,BAYAMON,CUA,N
841-09-1083,M,TIEL,216,GACUAS,CUA,N
841-09-3919,M,ESCO,286,SAN JUAN,6TO,N
841-09-4484,F,BIOG,276,GUAYNABO,CUA,N
841-10-5262,F,GERE,259,DORADO,CNB,N
841-11-5940,M,CCOM,325,BAYAMON,6TO,N
841-11-7270,M,CCOM,299,TOA ALTA,CUA,N
841-12-7272,M,SOFI,245,TOA ALTA,CUA,N
841-13-0185,M,MERC,236,TOA ALTA,TNB,N
841-13-1600,M,CCOM,269,BAYAMON,CUA,N
841-13-4940,M,CCOM,338,SAN JUAN,CUA,N
841-13-6923,F,BIOG,266,BAYAMON,CUA,N
841-13-7400,M,SICI,301,TOA ALTA,TER,N
841-13-7615,M,SINF,257,TOA BAJA,CUA,N
841-14-0676,F,GEMA,247,BAYAMON,CUA,N
841-14-1410,M,BIOG,297,BAYAMON,CUA,N
841-14-1420,M,SICI,192,CIDRA,SEG,N
841-14-1790,F,GEMA,327,TOA ALTA,CUA,N
841-14-3205,F,SINF,271,GUAYNABO,CUA,N
841-14-3810,M,SICI,296,TOA ALTA,SEG,N
841-14-4600,M,TIEL,258,CAYEY,CUA,N
841-14-5275,F,ESCO,281,BAYAMON,CUA,N
841-14-6280,F,CONT,304,BAYAMON,6TN,N
841-14-6930,M,SINF,264,COROZAL,CUA,N
841-14-7030,M,FINA,262,COROZAL,TNB,N
841-14-8200,M,BIOG,284,TOA BAJA,CUA,N
841-14-9220,M,CONT,327,BAYAMON,6TO,N
841-14-9380,M,TIEL,198,SAN JUAN,CUA,N
841-14-9431,F,CONT,336,CAGUAS,6TN,N
841-14-9940,M,SICI,366,SAN JUAN,CUA,N
841-15-0881,M,TIEL,263,DORADO,CUA,N
841-15-0882,M,GEMA,299,DORADO,TER,N
841-15-0920,M,FINA,237,BAYAMON,CUA,N
841-15-1830,M,FINA,273,BAYAMON,CUA,N
841-15-2930,M,SINF,277,CANOVANAS,CUA,N
841-15-3390,F,BIOG,309,SAN LORENZO,CUA,N
841-15-3630,M,SINF,292,SAN JUAN,CUA,N
841-15-3930,F,BIOG,242,CAROLINA,CUA,N
841-15-4165,F,BIOG,295,DORADO,CUA,N
841-15-5020,M,BHUM,285,CATANO,CUA,N
841-15-5340,M,MERC,224,DORADO,CUA,N
841-15-5490,M,CCOM,264,TOA ALTA,CUA,N
841-15-5580,F,BIOG,300,BAYAMON,CUA,N
841-15-5680,M,SICI,212,GUAYNABO,SEG,N
841-15-6495,F,EFEE,300,TOA BAJA,CUA,N
841-15-6510,M,ESCO,345,BAYAMON,TER,N
841-15-6540,M,SICI,295,SAN JUAN,CUA,N
841-15-6660,M,SINF,280,BAYAMON,CUA,N
841-15-6880,F,MERC,268,BAYAMON,CNB,N
841-15-7690,M,SINF,226,BAYAMON,TER,N
841-15-7760,M,MERC,253,BAYAMON,CUA,N
841-15-7765,F,CONT,235,COMERIO,CUA,N
841-15-7790,M,MERC,200,TOA BAJA,CUA,N
841-15-8260,F,CONT,336,GUAYNABO,6TN,N
841-15-8265,M,TIEL,267,DORADO,CUA,N
841-15-8570,F,GERE,239,CAROLINA,CUA,N
841-15-9800,M,FINA,190,BAYAMON,TER,N
841-16-0205,F,GERE,347,BAYAMON,CUA,N
841-16-0380,M,TIEL,274,GUAYNABO,TER,N
841-16-0532,M,SINF,240,TRUJILLO ALTO,TER,N
841-16-0650,F,MERC,281,BAYAMON,TER,N
841-16-1790,M,BIOG,287,BAYAMON,CUA,N
841-16-1827,M,GERE,383,DORADO,TNB,N
841-16-1913,F,EFEE,281,TOA ALTA,CUA,N
841-16-2300,F,BHUM,336,TOA ALTA,CUA,N
841-16-2370,M,MERC,269,TOA BAJA,CUA,N
841-16-2400,M,GERE,281,TOA ALTA,CUA,N
841-16-2545,F,GERE,326,TRUJILLO ALTO,CUA,N
841-16-2790,M,BIOG,305,VEGA ALTA,CUA,N
841-16-2810,M,TIEL,245,AGUAS BUENAS,CUA,N
841-16-3010,M,FINA,288,VEGA ALTA,CUA,N
841-16-3170,M,BHUM,303,SAN JUAN,CUA,N
841-16-3180,M,TIEL,282,COROZAL,CUA,N
841-16-3213,F,CONT,322,SAN JUAN,CUA,N
841-16-3220,M,CCOM,318,DORADO,CUA,N
841-16-3260,F,BIOG,286,BAYAMON,CUA,N
841-16-3760,M,SINF,285,SAN JUAN,CNB,N
841-16-4020,F,GERE,299,TOA BAJA,TNB,N
841-16-4225,M,CONT,264,BAYAMON,CUA,N
841-16-4370,M,TIEL,369,SAN LORENZO,CUA,N
841-16-4400,F,EFEE,276,DORADO,CUA,N
841-16-4510,F,ESCO,275,MOROVIS,TER,N
841-16-4567,M,MERC,310,BAYAMON,TER,N
841-16-4570,F,SOFI,318,BAYAMON,CUA,N
841-16-4674,M,SICI,244,SAN JUAN,TER,N
841-16-4680,M,GEMA,281,SAN JUAN,CUA,N
841-16-4700,M,CCOM,287,COROZAL,CUA,N
841-16-4802,M,FINA,267,MOROVIS,CUA,N
841-16-5020,M,SINF,324,JUNCOS,CUA,N
841-16-5050,M,BIOG,299,SAN JUAN,CUA,N
841-16-5114,F,EFEE,287,BAYAMON,CUA,N
841-16-5385,M,GEMA,313,BAYAMON,CUA,N
841-16-5710,F,BHUM,333,TOA ALTA,CUA,N
841-16-5760,F,BIOG,281,GUAYNABO,CUA,N
841-16-5770,F,CONT,305,BAYAMON,CUA,N
841-16-5880,M,CCOM,313,COMERIO,CUA,N
841-16-5965,F,ESCO,297,BAYAMON,CUA,N
841-16-6210,F,ESCO,338,BAYAMON,CUA,N
841-16-6270,F,BHUM,297,TOA ALTA,CUA,N
841-16-6280,M,CCOM,297,BAYAMON,CUA,N
841-16-6405,F,EFEE,270,OROCOVIS,CUA,N
841-16-6430,M,GERE,331,TOA BAJA,CUA,N
841-16-6675,F,CONT,318,BAYAMON,CUA,N
841-16-6720,M,MERC,291,SAN JUAN,CUA,N
